,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
931,0,0,0,1602,13,32.04,8,3
932,0,0,0,2142,13,42.84,8,3
933,0,0,0,2142,13,28.56,1,3
934,0,0,0,2169,13,28.92,1,3
935,0,0,0,1503,13,30.06,8,3
936,0,0,0,1899,13,39.03,0,3
937,0,0,0,2187,13,29.16,1,3
938,0,0,0,2232,13,29.76,8,3
939,0,0,0,1746,13,35.89,8,3
940,0,0,0,1746,13,35.89,0,3
941,0,0,0,1809,13,37.18,0,3
942,0,0,0,2520,13,51.8,0,3
943,0,0,0,1863,13,71.59,1,3
944,0,0,0,1755,13,35.89,1,3
945,0,0,0,1719,22,31.51,7,3
946,0,0,0,1278,20,17.04,0,3
947,0,0,0,1071,20,16.33,8,3
948,0,0,0,1458,20,19.56,0,3
949,0,0,0,1278,20,16.33,8,3
950,0,0,0,990,75,8.21,0,3
951,0,0,0,972,71,8.1,0,3
952,0,0,0,1503,31,20.87,0,3
953,0,0,0,1503,31,29.0,1,3
954,0,0,0,1503,31,54.0,3,3
955,0,0,0,1350,0,6.0,0,3
956,0,0,0,1683,31,27.3,0,3
957,2,2,1,1350,45,60.0,1,3
958,4,4,1,1152,45,79.5,0,3
960,2,2,1,1215,26,36.45,1,3
961,2,2,1,1170,45,55.0,1,3
962,3,3,1,1625,26,48.75,1,3
963,3,3,1,1715,26,51.45,1,3
964,3,3,1,1625,26,48.75,1,3
965,2,2,1,1350,26,75.0,1,3
966,0,0,0,1494,31,16.5,0,2
968,0,0,0,1350,20,18.75,1,2
969,0,0,0,1017,28,5.0,1,0
970,0,0,0,1332,28,8.88,1,2
971,0,0,0,1017,28,4.0,0,0
972,0,0,2,2400,29,40.2,1,0
973,0,0,0,1450,20,19.98,1,0
974,0,0,0,1017,28,2.99,1,2
975,0,0,0,1359,54,17.5,1,3
976,3,2,1,1530,5,69.0,1,3
977,1,1,1,738,18,45.0,1,3
978,2,2,1,1534,18,61.36,1,3
979,2,2,1,1125,17,28.0,1,3
980,2,2,1,1030,17,29.0,1,3
981,2,2,1,820,51,37.0,1,3
982,4,3,1,2430,17,100.0,1,3
983,3,3,1,1719,17,55.0,1,3
984,2,2,1,1215,17,40.0,1,3
985,3,3,1,1500,19,60.0,1,0
987,2,2,1,1250,18,50.0,1,4
988,2,2,1,1010,26,35.0,1,0
989,3,3,3,1250,45,60.5,1,0
990,2,2,3,1200,49,45.0,1,0
991,2,2,3,1200,49,45.0,1,0
992,2,2,3,1200,49,45.0,1,0
993,2,2,3,1200,49,45.0,1,0
994,2,2,1,1250,26,29.0,1,0
996,3,3,1,1852,23,69.5,1,0
997,2,2,1,800,55,55.0,1,0
998,2,2,1,1200,55,35.0,1,0
999,2,2,1,1320,32,48.0,1,1
1001,2,2,1,900,64,29.0,1,0
1002,3,3,1,1500,31,52.0,1,0
1003,2,2,1,800,55,32.0,0,0
1004,2,2,3,1100,31,39.0,0,0
1005,3,3,3,1250,45,60.5,1,2
1006,1,1,1,150,17,14.0,1,0
1007,2,2,1,1200,73,45.0,1,1
1008,2,2,3,1150,7,45.0,1,0
1009,2,2,1,1266,17,45.57,1,0
1010,4,4,1,2200,17,90.0,1,5
1011,2,2,1,1260,32,57.5,0,0
1013,2,2,3,1200,45,53.0,1,0
1014,3,3,1,1402,68,66.0,1,2
1015,2,2,1,1150,76,33.0,1,1
1016,3,3,1,2000,32,84.0,1,2
1017,3,3,3,1650,31,74.5,1,0
1018,2,2,1,1250,61,62.0,1,2
1019,2,2,1,1266,33,43.67,1,0
1020,1,2,1,400,59,37.0,1,0
1021,2,2,1,1200,31,35.0,1,2
1022,2,2,1,1289,71,38.5,1,5
1024,2,2,1,900,16,47.0,1,0
1025,2,2,1,2000,43,75.0,1,0
1026,3,2,1,1585,55,72.0,1,0
1027,2,2,1,1000,17,30.0,1,5
1028,3,3,1,1500,65,95.0,1,0
1029,3,3,1,1853,37,89.9,1,0
1030,2,2,1,1215,26,36.45,1,2
1031,0,0,0,3366,80,82.3,1,0
1032,0,0,0,1881,31,45.0,1,0
1033,0,0,0,1098,31,34.0,1,2
1034,0,0,0,2430,31,15.0,1,2
1035,0,0,0,999,51,84.0,1,2
1042,0,0,0,1800,1,65.0,1,3
1043,0,0,0,2394,17,33.0,1,3
1044,0,0,0,837,9,60.0,1,3
1047,0,0,0,3267,37,76.0,1,3
1049,0,0,0,909,82,35.0,1,3
1051,0,0,0,1620,18,72.0,1,3
1052,0,0,0,2700,18,100.0,1,3
1053,0,0,2,1314,2,45.26,8,3
1055,0,0,2,1728,13,30.72,0,3
1056,0,0,0,25,7,8.0,1,3
1057,0,0,2,1287,31,14.0,1,3
1058,0,0,2,2060,4,85.0,1,3
